aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,false_alarm,gated_cat,gated_auc
c172p,engine_stop,noop,0,0.801,,,,,,,0.0,,
c172r,cruise,inertia_x1.6,1,0.782,0.79,0.0,0.05/1.00,0.20/1.00,,-,,,
c172r,cruise,cmq_x0.5,0,0.782,0.23,0.0,0.00/0.00,0.00/0.00,0.44,-,,,
c172r,cruise,cmalpha_x0.7,0,0.782,0.56,0.0,0.00/0.00,0.00/0.00,0.13,-,,,
c172r,cruise,clo_+0.1,2,0.782,1.64,1.0,0.08/0.50,0.40/1.00,0.51,0.00/0.00,,0.00/0.00,0.0
c172r,cruise,noop,0,0.782,,,,,,,0.0,,
c172r,throttle_step,inertia_x1.6,0,0.773,1.51,1.0,0.00/0.00,0.00/0.00,,0.00/0.00,,0.00/0.00,0.0
c172r,throttle_step,cmq_x0.5,0,0.773,0.26,0.0,0.00/0.00,0.00/0.00,0.56,-,,,
c172r,throttle_step,cmalpha_x0.7,2,0.773,1.34,0.0,0.08/0.50,0.40/1.00,0.85,-,,,
c172r,throttle_step,clo_+0.1,4,0.773,1.53,1.0,0.23/0.75,0.40/1.00,0.53,0.00/0.00,,0.00/0.00,0.0
c172r,throttle_step,noop,0,0.773,,,,,,,0.0,,
c172r,elev_doublet,inertia_x1.6,4,0.767,0.78,0.0,0.18/1.00,0.80/1.00,,-,,,
c172r,elev_doublet,cmq_x0.5,1,0.767,0.25,0.0,0.08/1.00,0.20/1.00,0.39,-,,,
c172r,elev_doublet,cmalpha_x0.7,0,0.767,1.38,0.0,0.00/0.00,0.00/0.00,0.24,-,,,
